"filename", "language", "XML", "TypeScript JSX", "CSS", "TypeScript", "JSON", "JSON with Comments", "Markdown", "HTML", "JavaScript", "comment", "blank", "total"
"/Users/2025sa-czhangkaitong/react-tsapp/src/pages/codeEditAndJudge/components/judgePanel/block/block.tsx", "TypeScript JSX", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18
"/Users/2025sa-czhangkaitong/react-tsapp/src/pages/codeEditAndJudge/components/judgePanel/judgePanel.tsx", "TypeScript JSX", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 5, 27
"/Users/2025sa-czhangkaitong/react-tsapp/src/pages/codeEditAndJudge/components/problemDetail/problemDetail.tsx", "TypeScript JSX", 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 2, 33
"/Users/2025sa-czhangkaitong/react-tsapp/src/pages/codeEditAndJudge/stores/code.tsx", "TypeScript JSX", 0, 106, 0, 0, 0, 0, 0, 0, 0, 0, 10, 116
"/Users/2025sa-czhangkaitong/react-tsapp/src/pages/management/components/activitiesManagement.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/2025sa-czhangkaitong/react-tsapp/src/pages/management/components/groupsManagement.tsx", "TypeScript JSX", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"/Users/2025sa-czhangkaitong/react-tsapp/src/pages/management/components/newTask/newProgrammingTask.tsx", "TypeScript JSX", 0, 72, 0, 0, 0, 0, 0, 0, 0, 0, 3, 75
"/Users/2025sa-czhangkaitong/react-tsapp/src/pages/management/components/tasksManagement.tsx", "TypeScript JSX", 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 6, 43
"/Users/2025sa-czhangkaitong/react-tsapp/src/pages/management/components/userList/groupList.tsx", "TypeScript JSX", 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 4, 32
"/Users/2025sa-czhangkaitong/react-tsapp/src/pages/management/components/userList/problemList.tsx", "TypeScript JSX", 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 5, 33
"/Users/2025sa-czhangkaitong/react-tsapp/src/pages/management/components/userList/userList.tsx", "TypeScript JSX", 0, 92, 0, 0, 0, 0, 0, 0, 0, 1, 10, 103
"/Users/2025sa-czhangkaitong/react-tsapp/src/pages/management/components/usersManagement.tsx", "TypeScript JSX", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"/Users/2025sa-czhangkaitong/react-tsapp/src/pages/management/management.tsx", "TypeScript JSX", 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 2, 42
"/Users/2025sa-czhangkaitong/react-tsapp/src/pages/problemSet/components/description.tsx", "TypeScript JSX", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 2, 18
"/Users/2025sa-czhangkaitong/react-tsapp/src/pages/problemSet/problemSet.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/2025sa-czhangkaitong/react-tsapp/src/pages/problemSet/problemSet.tsx", "TypeScript JSX", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"/Users/2025sa-czhangkaitong/react-tsapp/src/pages/problemSets/components/detail.css", "CSS", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 3
"/Users/2025sa-czhangkaitong/react-tsapp/src/pages/problemSets/components/detail.tsx", "TypeScript JSX", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 3, 25
"/Users/2025sa-czhangkaitong/react-tsapp/src/pages/problemSets/components/setBar/setBar.tsx", "TypeScript JSX", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11
"/Users/2025sa-czhangkaitong/react-tsapp/src/pages/problemSets/components/setItem/setItem.tsx", "TypeScript JSX", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 1, 25
"/Users/2025sa-czhangkaitong/react-tsapp/src/pages/problemSets/problemSets.css", "CSS", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 3
"/Users/2025sa-czhangkaitong/react-tsapp/src/pages/problemSets/problemSets.tsx", "TypeScript JSX", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
